UDI;Product ID;Type;Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];Failure Type
2433;L49612;L;298.9;308.2;1510;43.5;46;No Failure
8312;M23171;M;298.8;310;1295;52.7;74;No Failure
1855;M16714;M;297.6;307.2;1470;42.6;44;No Failure
7117;L54296;L;301;310.5;1601;33.2;77;No Failure
9274;H38687;H;298.2;308.7;1520;35.7;40;No Failure
6284;L53463;L;301.3;310.8;1719;29.5;62;No Failure
5518;L52697;L;302.6;311.9;1448;49.5;72;No Failure
6959;L54138;L;300.6;311;1563;40.7;87;No Failure
3685;L50864;L;302;311.2;1270;65.3;182;Overstrain Failure
6172;L53351;L;300.8;310.6;1416;42.2;225;No Failure
1841;M16700;M;297.7;307.2;1405;43.7;2;No Failure
1532;H30945;H;298.1;309;1438;41.4;60;No Failure
8041;L55220;L;300.8;311.9;1498;39.3;23;No Failure
1346;L48525;L;298.5;310;1804;26.1;22;No Failure
7166;L54345;L;300.2;310.1;1392;47.9;201;No Failure
9001;L56180;L;297;307.9;1493;46.1;173;No Failure
9156;L56335;L;297.5;308.5;1340;57.4;143;No Failure
5334;M20193;M;303.5;312.6;1405;51.6;62;No Failure
8984;M23843;M;297;307.7;1261;51.1;130;No Failure
5393;L52572;L;302.8;312.2;1481;40.2;230;No Failure
2013;L49192;L;298.6;308.4;1397;46.4;36;No Failure
3417;L50596;L;301.5;310.5;1435;44.6;135;No Failure
1470;L48649;L;298.6;309.8;1497;41.6;118;No Failure
5109;L52288;L;303.9;313.3;1394;51.6;121;No Failure
4338;L51517;L;301.6;309.9;1440;43.4;100;No Failure
8658;L55837;L;297.4;308.4;1421;46;124;No Failure
479;L47658;L;297.4;309;1833;22.6;161;No Failure
2945;L50124;L;300.7;309.6;1505;34.9;7;No Failure
826;L48005;L;296.6;307.3;1474;40;158;No Failure
6840;L54019;L;301.2;311.2;1558;34.1;204;No Failure
9181;L56360;L;297.9;309.1;1507;36.9;13;No Failure
5599;L52778;L;302.8;312.1;1441;52.1;79;No Failure
6476;L53655;L;300.5;309.7;1560;30.2;139;No Failure
7801;M22660;M;300.1;311.4;1524;40.6;98;No Failure
8344;H37757;H;298.8;309.8;1437;48.2;164;No Failure
4521;L51700;L;302.4;310.4;1456;47.6;127;No Failure
511;L47690;L;297.5;309.3;1564;37.5;20;No Failure
7989;L55168;L;301.1;312.3;1486;34.9;122;No Failure
1083;H30496;H;297.1;307.9;1420;39.8;192;No Failure
5550;H34963;H;302.3;311.9;1374;52.4;154;No Failure
73;L47252;L;298.9;309.1;1369;44.4;198;No Failure
1284;L48463;L;298.3;309.4;1356;45.4;96;No Failure
9450;M24309;M;298.1;308.8;1434;41.8;93;No Failure
7237;M22096;M;299.8;310;1460;37.1;169;No Failure
675;L47854;L;297.8;309;1456;41.2;0;No Failure
3421;L50600;L;301.6;310.6;1834;23.5;146;No Failure
9249;M24108;M;298.3;309.1;1488;40.6;176;No Failure
5507;L52686;L;302.9;312.2;1677;30.5;46;No Failure
757;L47936;L;296.8;308;1584;40.4;227;No Failure
5353;M20212;M;303.4;312.8;1590;36.3;113;No Failure
2609;L49788;L;299.5;309.3;1409;44.7;46;No Failure
7546;L54725;L;300.2;311.4;1891;22.6;86;No Failure
2543;H31956;H;299.2;308.9;1712;26.4;95;No Failure
4147;L51326;L;301.8;310.3;1482;41.4;63;No Failure
2782;L49961;L;300.2;309.5;2183;17.8;39;No Failure
847;M15706;M;296.4;307.4;1416;50;210;No Failure
6529;L53708;L;301.2;310.5;1546;40;55;No Failure
3506;L50685;L;301.6;310.8;1726;26.7;150;No Failure
4537;L51716;L;302.4;310.2;1351;45.1;168;Heat Dissipation Failure
2509;L49688;L;299;308.9;1615;30.6;14;No Failure
4220;L51399;L;301.9;310.7;1717;26.8;27;No Failure
9220;M24079;M;297.7;308.8;1350;57;105;No Failure
7047;M21906;M;300.7;310.5;1863;22.2;111;No Failure
2019;L49198;L;298.7;308.5;1375;46.4;48;No Failure
6827;L54006;L;301;310.9;1822;21.6;168;No Failure
5092;L52271;L;303.9;313.2;1345;48.2;77;No Failure
2354;L49533;L;299.2;308.4;1841;22.8;40;No Failure
940;L48119;L;295.5;306.1;1488;40.7;31;No Failure
5457;M20316;M;303.1;312.6;1567;32.9;132;No Failure
243;L47422;L;298;308.2;1348;58.8;202;Overstrain Failure
5394;L52573;L;302.8;312.3;1473;42.6;232;No Failure
3105;M17964;M;299.8;309.2;1678;29.8;202;No Failure
5748;L52927;L;302.1;311.5;1533;39.4;26;No Failure
3299;L50478;L;301.2;310.3;1499;38.1;61;No Failure
4211;L51390;L;302.1;310.8;1565;35.3;6;No Failure
951;L48130;L;295.6;306.2;1424;42.5;58;No Failure
2150;L49329;L;299.4;309;1613;32.2;178;No Failure
7111;M21970;M;300.8;310.4;1518;36;59;No Failure
7576;L54755;L;300.4;311.2;1471;46.5;164;No Failure
1257;M16116;M;297.5;308.9;1535;37.7;12;No Failure
6396;M21255;M;300.1;309.6;1376;52.1;147;No Failure
495;L47674;L;297.6;309.4;1326;49.8;199;No Failure
3488;M18347;M;301.8;310.8;1508;38.8;96;No Failure
5982;M20841;M;300.7;310.7;1347;46.5;183;No Failure
8820;H38233;H;297.4;308.7;1349;48.9;120;No Failure
517;L47696;L;297.5;309.3;1732;29.9;32;No Failure
2387;L49566;L;299.1;308.4;1543;37.9;130;No Failure
6088;M20947;M;300.9;310.8;1599;33;7;No Failure
3734;L50913;L;302.2;311.1;1470;39.6;97;No Failure
2589;L49768;L;299;308.7;1706;28.6;206;No Failure
4027;M18886;M;302.1;311;1574;34.1;215;No Failure
2539;L49718;L;299.1;308.8;1429;50.1;84;No Failure
8009;L55188;L;300.8;311.9;1414;41.1;171;No Failure
7354;L54533;L;299.8;310.3;1687;30.4;33;No Failure
9487;M24346;M;298.9;309.6;1472;46;199;No Failure
997;M15856;M;296.3;307.2;1286;51.1;177;No Failure
4374;M19233;M;301.9;309.7;1533;35.9;204;No Failure
3873;L51052;L;302.7;311.9;1389;46.5;15;No Failure
1423;L48602;L;298.7;309.8;1530;35.5;0;No Failure
5042;L52221;L;304;313.2;1314;47.1;144;No Failure
5589;M20448;M;302.5;311.8;1566;37.6;54;No Failure
2510;L49689;L;299;308.9;1511;35.9;16;No Failure
6013;H35426;H;300.8;310.9;1425;44;33;No Failure
6462;L53641;L;300.6;310;1505;35.9;95;No Failure
5927;L53106;L;300.2;310.1;1440;51.1;41;No Failure
3507;H32920;H;301.6;310.8;1435;47.2;152;No Failure
6208;L53387;L;300.7;310.6;1447;40.7;82;No Failure
2627;L49806;L;299.7;309.4;1650;29.8;93;No Failure
9785;M24644;M;298.7;309.8;1435;48.8;71;No Failure
6267;L53446;L;300.8;310.4;1368;46.8;21;No Failure
4050;L51229;L;301.8;310.8;1505;41.2;33;No Failure
1921;L49100;L;298.1;307.9;2161;17.5;5;No Failure
5299;M20158;M;303.7;313.1;2130;18.1;185;No Failure
5685;H35098;H;302.2;311.6;1594;36.8;82;No Failure
1600;L48779;L;297.9;308;1490;46.2;6;No Failure
9022;M23881;M;297.4;308.2;1536;34.6;4;No Failure
8422;L55601;L;298.9;310.3;1496;36.3;161;No Failure
3436;L50615;L;301.5;310.5;1389;54.9;187;No Failure
2908;M17767;M;300.6;309.4;1581;35.7;117;No Failure
784;H30197;H;296.7;307.9;1579;33.4;50;No Failure
5724;M20583;M;302.3;311.8;1475;48;180;No Failure
4837;L52016;L;303.3;311.8;1315;62;42;Heat Dissipation Failure
4656;L51835;L;303.1;311.1;1854;22.6;19;No Failure
3545;M18404;M;301.9;310.9;1483;37;35;No Failure
8868;L56047;L;297.9;308.9;1566;41.9;50;No Failure
3861;L51040;L;302.6;311.5;1427;38.9;213;No Failure
6847;M21706;M;301.2;311.5;1498;49.5;3;No Failure
7624;L54803;L;300.6;311.7;1734;29.9;72;No Failure
2664;L49843;L;299.9;309.3;1620;31.1;196;No Failure
543;L47722;L;297.5;309.4;1803;24.7;98;No Failure
7468;H36881;H;300.3;311.6;1463;41.6;102;No Failure
5280;L52459;L;303.6;313;1522;35.8;133;No Failure
5270;L52449;L;303.5;312.9;1504;44.8;111;No Failure
7850;M22709;M;300.3;311.7;1374;47.9;222;Tool Wear Failure
4547;M19406;M;302.5;310.4;1429;43.2;191;No Failure
8590;M23449;M;297.3;307.8;1538;48;171;No Failure
307;L47486;L;297.8;308.4;1374;47.1;150;No Failure
4884;M19743;M;303.8;312.6;1684;29.3;167;No Failure
7309;L54488;L;300;310.4;1333;49.1;131;No Failure
4101;L51280;L;302;310.4;1895;23.2;161;No Failure
7041;L54220;L;300.7;310.6;1720;30.3;96;No Failure
9401;L56580;L;297.7;308.2;1446;43.9;172;No Failure
1099;M15958;M;296.9;307.4;1521;37.9;27;No Failure
7450;L54629;L;300.3;311.8;1418;45.9;53;No Failure
5848;L53027;L;301.4;311.3;1397;42.3;48;No Failure
738;H30151;H;296.9;308.3;1474;39.2;177;No Failure
1446;L48625;L;299;310.1;1618;29.2;62;No Failure
5959;L53138;L;300.6;310.8;1533;38.5;117;No Failure
4724;L51903;L;303.4;311.8;1366;50.9;200;Heat Dissipation Failure
2571;L49750;L;299.6;309.2;1713;26.5;167;No Failure
3912;M18771;M;302.3;311.3;1339;50.8;123;No Failure
9304;L56483;L;298.2;309;1491;38.3;121;No Failure
1728;M16587;M;298.3;307.7;1602;33.4;106;No Failure
6084;L53263;L;300.9;310.7;1389;50;214;No Failure
891;L48070;L;295.6;306;1370;52.4;115;No Failure
9479;L56658;L;298.8;309.6;1890;24;173;No Failure
8196;L55375;L;299.4;310.8;1376;53.9;215;Overstrain Failure
6770;L53949;L;301.2;310.8;1392;52.6;23;No Failure
5103;M19962;M;304.1;313.5;1587;33.6;108;No Failure
3335;M18194;M;301.6;310.8;1548;34.2;143;No Failure
1043;L48222;L;296.6;307.6;1542;37.4;88;No Failure
384;M15243;M;297.5;308.6;1842;27;133;No Failure
2999;L50178;L;300.5;309.7;1616;34.5;155;No Failure
3480;M18339;M;301.8;310.8;1619;31;76;No Failure
7966;L55145;L;301.1;312.3;1464;35.3;65;No Failure
5455;L52634;L;303;312.5;1461;40.2;127;No Failure
4155;M19014;M;302;310.4;1828;26.3;82;No Failure
5157;L52336;L;304.2;313.4;1482;41.4;32;No Failure
6861;L54040;L;301.1;311.2;1910;20.2;41;No Failure
5906;H35319;H;300.8;310.5;1582;31.1;193;No Failure
9721;M24580;M;298.9;309.9;1357;54.5;121;No Failure
7008;L54187;L;300.5;310.6;1499;45.2;8;No Failure
2752;L49931;L;299.7;309.1;1417;50.1;187;No Failure
6590;M21449;M;301.6;310.6;1553;38.9;0;No Failure
7812;M22671;M;300;311.4;1466;39;125;No Failure
7535;L54714;L;300;311.2;1418;47.3;60;No Failure
2674;L49853;L;299.8;309.4;1480;40.9;2;No Failure
1343;M16202;M;298.6;310.1;1596;33;15;No Failure
7068;M21927;M;300.8;310.7;1386;42.1;170;No Failure
9789;M24648;M;298.5;309.5;1535;39.8;87;No Failure
9970;L57149;L;298.4;308.1;1491;50;156;No Failure
9322;L56501;L;298.4;309.2;1335;53.5;168;No Failure
2315;L49494;L;299.2;308.9;1368;47.2;175;No Failure
7708;H37121;H;300.5;311.4;1679;27.5;59;No Failure
7441;L54620;L;300;311.4;1655;29.6;30;No Failure
5308;L52487;L;304;313.3;1530;34.8;211;No Failure
4217;L51396;L;301.9;310.7;1370;50.3;20;No Failure
6816;L53995;L;300.9;310.7;1427;44.1;141;No Failure
1059;L48238;L;296.7;307.8;1605;31.3;128;No Failure
8453;M23312;M;298.6;310;1512;37.5;27;No Failure
3186;L50365;L;300.1;309.3;1685;27.1;203;No Failure
3591;L50770;L;301.8;310.6;1403;46.8;151;No Failure
6585;L53764;L;301.5;310.5;1372;44;203;No Failure
790;M15649;M;296.9;308;1641;33.3;67;No Failure
5196;L52375;L;303.9;313;1551;36.8;140;No Failure
7403;M22262;M;299.8;310.8;1463;43.5;156;No Failure
4293;M19152;M;301.8;310.1;2372;13.9;205;Power Failure
7065;M21924;M;300.8;310.5;1696;29.7;162;No Failure
5303;L52482;L;303.9;313.1;1491;37.2;195;No Failure
8198;M23057;M;299.4;310.7;1492;45.7;219;No Failure
5847;L53026;L;301.4;311.3;1674;33.3;46;No Failure
9955;M24814;M;298.1;307.9;1446;42.8;121;No Failure
3091;H32504;H;300.1;309.3;1448;45.8;163;No Failure
8479;M23338;M;298.5;309.7;1354;60.8;96;No Failure
6873;L54052;L;301;311.3;1472;35.3;73;No Failure
1953;L49132;L;298;307.8;1266;60.5;81;No Failure
6493;M21352;M;300.8;309.9;1444;46;180;No Failure
3398;L50577;L;301.4;310.6;1648;30.7;90;No Failure
3357;L50536;L;301.6;310.8;1355;57.8;195;Overstrain Failure
2110;M16969;M;299.3;309;1496;43.4;67;No Failure
532;L47711;L;297.6;309.5;1549;34.9;68;No Failure
1184;L48363;L;297.3;308.4;1513;40.5;25;No Failure
956;L48135;L;295.6;306.3;1911;20.9;74;No Failure
354;H29767;H;297.5;308.3;1674;30;54;No Failure
2183;M17042;M;299.5;309.2;1314;61.8;45;No Failure
1497;L48676;L;298;308.7;1268;69.4;189;Power Failure
5230;H34643;H;303.9;313.1;1790;26.7;17;No Failure
225;L47404;L;298.3;308.6;1584;29.3;162;No Failure
3515;H32928;H;301.9;311;1430;49.8;174;No Failure
7677;L54856;L;300.6;311.7;1448;49.1;206;No Failure
8945;L56124;L;297.3;308.3;1471;38.2;37;No Failure
6426;L53605;L;300.3;309.9;1393;56.1;12;No Failure
9184;L56363;L;297.9;309.1;1543;36.6;20;No Failure
3475;M18334;M;301.9;310.8;1557;35.3;65;No Failure
6712;L53891;L;301.5;310.7;1426;46.1;81;No Failure
4588;M19447;M;302.8;311;1507;33.4;82;No Failure
1848;L49027;L;297.8;307.3;1412;50.7;24;No Failure
6249;L53428;L;300.8;310.1;1405;61.2;189;Power Failure
4022;H33435;H;302.1;310.9;1452;42.5;198;No Failure
989;H30402;H;296.3;307.1;1774;25.9;154;No Failure
5873;M20732;M;301.5;311;1504;42.6;109;No Failure
56;L47235;L;298.8;309.1;1512;40.7;156;No Failure
5716;H35129;H;302.2;311.9;1597;35.8;160;No Failure
8455;L55634;L;298.6;310;1522;40.3;32;No Failure
5532;M20391;M;302.3;311.7;1504;37.3;107;No Failure
4074;M18933;M;301.9;310.6;1412;46.5;89;No Failure
2761;L49940;L;299.8;309.2;1400;42.6;210;No Failure
9507;H38920;H;299.3;310.4;1548;41.6;25;No Failure
1662;M16521;M;298.2;308;1411;47.2;168;No Failure
2531;L49710;L;298.9;308.7;1438;51.7;64;No Failure
6077;L53256;L;301;310.9;1492;36.7;199;No Failure
5300;L52479;L;303.7;313.1;1355;49.1;188;No Failure
1778;H31191;H;298.6;308.2;1555;36.8;36;No Failure
5808;M20667;M;301.4;310.9;1489;38.9;179;No Failure
736;L47915;L;296.9;308.4;1557;32.4;173;No Failure
8569;L55748;L;297.9;308.6;1691;29.6;116;No Failure
3550;M18409;M;301.8;310.9;1299;60.4;48;No Failure
687;M15546;M;297.7;309;1504;40.4;35;No Failure
2838;L50017;L;300.3;309.1;1699;30.3;178;No Failure
1690;L48869;L;297.9;307.5;1561;37.7;16;No Failure
1647;M16506;M;297.9;307.7;1527;42.8;125;No Failure
8846;M23705;M;297.4;308.9;1348;59.1;201;No Failure
9413;L56592;L;298;308.5;1702;26.7;203;No Failure
338;L47517;L;297.6;308.3;1742;27.7;13;No Failure
3730;M18589;M;302.4;311.3;1312;61.5;85;No Failure
9448;M24307;M;298.1;308.9;1323;51.7;88;No Failure
666;L47845;L;297.5;308.9;1729;28.1;189;No Failure
4684;L51863;L;303.6;311.8;1736;32.9;99;No Failure
6826;L54005;L;301;310.9;1828;25.1;166;No Failure
3525;M18384;M;301.8;310.8;1365;48.2;199;No Failure
1441;M16300;M;298.8;309.9;1741;27.7;50;No Failure
1376;M16235;M;298.8;310.3;1528;37.1;99;No Failure
7488;L54667;L;300.3;311.7;1707;33.6;158;No Failure
2363;H31776;H;299.3;308.6;1520;41.4;67;No Failure
7944;L55123;L;300.8;311.7;1753;29;8;No Failure
6364;M21223;M;300;309.6;1618;36.2;53;No Failure
125;L47304;L;298.9;308.7;1727;29.4;116;No Failure
8310;M23169;M;298.7;310;1459;40.2;69;No Failure
234;L47413;L;298.2;308.4;1512;34.9;181;No Failure
8541;L55720;L;298.6;309.5;1687;29.3;47;No Failure
9958;L57137;L;298.1;307.8;1606;33;130;No Failure
8302;M23161;M;298.7;310.1;1644;34.1;46;No Failure
6505;M21364;M;301;310.1;1681;27.4;212;No Failure
3834;M18693;M;302.3;311;1541;36.6;143;No Failure
2135;L49314;L;299.3;309;1473;46.3;146;No Failure
6421;L53600;L;300.3;309.9;1518;36.4;0;No Failure
5789;L52968;L;301.8;311.5;1443;43.3;134;No Failure
4612;L51791;L;303;311.3;1365;56.2;146;Heat Dissipation Failure
2465;M17324;M;298.9;308.5;1534;42.9;121;No Failure
884;L48063;L;295.7;306.3;1490;34.3;97;No Failure
2807;L49986;L;300;309.3;1364;41.2;104;No Failure
3275;L50454;L;301.3;310;1665;31.4;0;No Failure
4950;M19809;M;303.8;312.7;1555;33.4;128;No Failure
1;M14860;M;298.1;308.6;1551;42.8;0;No Failure
9962;L57141;L;298.2;307.9;1399;54.9;139;No Failure
3474;M18333;M;301.8;310.8;1691;33.4;62;No Failure
6885;L54064;L;300.8;311.2;1492;39;109;No Failure
1040;L48219;L;296.7;307.7;1524;36.8;82;No Failure
6417;H35830;H;300.4;310.1;1484;38;198;No Failure
2373;M17232;M;299.3;308.5;1404;49.4;93;No Failure
7703;M22562;M;300.7;311.7;1701;30.8;44;No Failure
2088;L49267;L;299.5;309.3;1577;36.6;14;No Failure
1514;L48693;L;298.1;308.7;1568;32.9;10;No Failure
1479;L48658;L;298.3;309.4;1568;35.8;140;No Failure
7412;L54591;L;300;311.1;1425;47.8;179;No Failure
7183;L54362;L;300.3;310.3;2158;16.8;32;No Failure
9137;L56316;L;297.7;308.7;1694;29.1;102;No Failure
2170;L49349;L;299.5;309.1;1415;49.2;8;No Failure
5478;L52657;L;302.7;312.1;1763;26.5;184;No Failure
6507;H35920;H;301;310.1;1454;44.1;217;No Failure
7334;M22193;M;299.9;310.4;1367;53.3;201;No Failure
887;L48066;L;295.7;306.2;1458;40.6;103;No Failure
8916;L56095;L;297.1;308.3;1403;54.1;179;No Failure
3832;M18691;M;302.3;310.9;1742;29.7;137;No Failure
4418;L51597;L;302.6;310.4;1365;66.8;80;Power Failure
6221;L53400;L;301.1;310.8;1470;49.3;116;No Failure
4701;L51880;L;303.5;311.7;1620;31;141;No Failure
5635;M20494;M;302.6;312.2;1353;56.5;168;No Failure
1471;L48650;L;298.5;309.7;1437;42.6;120;No Failure
3277;L50456;L;301.3;310;1438;40.9;7;No Failure
7256;M22115;M;300.2;310.3;1704;29.4;221;No Failure
9185;L56364;L;298;309.2;1665;36.6;22;No Failure
619;H30032;H;298.2;310;1433;44.2;68;No Failure
7455;L54634;L;300.2;311.6;1446;47.3;66;No Failure
9684;M24543;M;299;310;1338;56.4;29;No Failure
6630;L53809;L;301.6;310.5;1397;49.4;104;No Failure
5113;M19972;M;304.1;313.6;1441;43.7;131;No Failure
1046;H30459;H;296.4;307.5;1403;52.8;94;No Failure
4414;M19273;M;302.7;310.5;1398;47.3;70;No Failure
7593;M22452;M;300.5;311.2;1551;36.6;205;No Failure
1660;L48839;L;298.1;308;1697;31;164;No Failure
6536;H35949;H;301.2;310.5;1505;43.6;78;No Failure
9380;L56559;L;297.5;308.2;1419;48.5;108;No Failure
9490;L56669;L;298.9;309.7;1407;41.9;207;No Failure
4491;L51670;L;302.5;310.4;1967;20.3;50;No Failure
755;M15614;M;296.9;308.1;1483;44.3;219;No Failure
8273;L55452;L;298.9;310.6;1363;52.6;190;No Failure
2443;M17302;M;299.1;308.4;1332;51.7;71;No Failure
5075;L52254;L;304.1;313.1;1666;34.6;33;No Failure
1645;L48824;L;298;307.8;1622;33.3;121;No Failure
2016;L49195;L;298.5;308.2;1301;66.3;42;Power Failure
8526;L55705;L;298.3;309.4;1378;52.3;12;No Failure
5942;L53121;L;300.6;310.7;1438;48.5;78;No Failure
5909;M20768;M;300.8;310.3;1526;36.3;205;No Failure
858;M15717;M;296.1;307.1;1350;53.3;22;No Failure
5993;L53172;L;300.7;310.6;1288;47.2;216;No Failure
2528;L49707;L;298.8;308.5;1450;50.8;57;No Failure
7006;M21865;M;300.6;310.7;1339;52.9;0;No Failure
4412;L51591;L;302.5;310.3;1688;31.6;66;No Failure
6181;L53360;L;301;310.9;1492;44.6;15;No Failure
2981;L50160;L;300.4;309.5;1447;39.3;110;No Failure
4447;L51626;L;302.5;310.3;1584;35.5;158;No Failure
6065;L53244;L;301.1;311.1;1889;23.8;170;No Failure
7608;M22467;M;300.5;311.3;1468;41.1;34;No Failure
6295;L53474;L;301.1;310.5;1529;38.7;91;No Failure
5312;H34725;H;303.7;312.9;1460;49.8;2;No Failure
6704;M21563;M;301.5;310.7;1744;28.2;61;No Failure
414;L47593;L;297.4;308.4;1573;34.5;205;No Failure
1729;L48908;L;298.3;307.7;1465;49.4;109;No Failure
5824;L53003;L;301.2;311;1544;39.3;217;No Failure
5663;L52842;L;302.2;311.5;1616;34;19;No Failure
674;L47853;L;297.6;308.9;1449;47.7;209;No Failure
265;L47444;L;298.1;308.2;1390;47.5;33;No Failure
5968;L53147;L;300.4;310.8;1390;52.5;144;No Failure
1834;L49013;L;297.8;307.3;1327;61;186;Overstrain Failure
9597;L56776;L;298.9;310.1;1466;43.4;50;No Failure
7865;L55044;L;300.5;311.9;1330;59.5;33;No Failure
1627;M16486;M;297.9;307.8;1303;59.3;75;No Failure
6633;L53812;L;301.4;310.4;1301;51.2;112;No Failure
959;L48138;L;295.8;306.4;1399;47.6;84;No Failure
2417;L49596;L;299;308.4;1571;38.6;5;No Failure
8821;L56000;L;297.3;308.7;1551;40;125;No Failure
5974;L53153;L;300.5;310.8;1354;51.8;157;No Failure
3747;H33160;H;302.5;311.3;1393;47.5;130;No Failure
1523;H30936;H;298.2;309;1562;37.7;36;No Failure
4274;L51453;L;302.6;310.8;1486;36.4;160;No Failure
2451;L49630;L;299.2;308.7;1492;37.8;91;No Failure
2182;H31595;H;299.5;309.1;1548;44.3;40;No Failure
5673;H35086;H;302.1;311.6;1701;26.2;46;No Failure
3274;M18133;M;301.3;309.9;1565;36;213;No Failure
4257;M19116;M;302.6;311;1591;33.9;119;No Failure
8400;L55579;L;298.6;309.7;1294;59.4;104;No Failure
1405;M16264;M;298.9;310.1;1555;40.6;176;No Failure
4265;M19124;M;302.6;311;1542;39.7;141;No Failure
5175;M20034;M;304.2;313.5;1390;47.8;83;No Failure
3562;L50741;L;301.7;310.6;1486;38.5;78;No Failure
2686;L49865;L;299.8;309.4;1609;32.5;27;No Failure
6645;L53824;L;301.5;310.6;1565;43.9;142;No Failure
2476;L49655;L;298.9;308.5;1459;43.1;147;No Failure
542;L47721;L;297.4;309.4;1296;52.3;96;No Failure
6562;L53741;L;301.5;310.7;1596;35.4;150;No Failure
9728;L56907;L;298.8;309.8;1461;39.4;141;No Failure
1631;L48810;L;297.9;307.9;1412;44.5;85;No Failure
9859;L57038;L;298.5;309.5;1547;33.1;68;No Failure
2630;L49809;L;300;309.7;1586;37.8;103;No Failure
6764;M21623;M;301.4;310.8;1782;26.5;6;No Failure
8556;L55735;L;298.2;309;1596;37.2;87;No Failure
9158;L56337;L;297.5;308.5;1462;52.3;148;No Failure
2058;L49237;L;299.5;309.3;1520;42.3;149;No Failure
1119;L48298;L;296.5;307.5;1443;41.8;87;No Failure
2376;M17235;M;299.2;308.4;1476;32.7;101;No Failure
9079;L56258;L;297.3;308.1;1566;35.7;156;No Failure
4979;L52158;L;303.6;312.7;1429;47.7;198;No Failure
9575;H38988;H;299.7;310.8;1418;46.6;197;No Failure
2749;L49928;L;299.7;309.2;1631;35.1;177;No Failure
4876;L52055;L;303.7;312.4;1702;31.2;144;No Failure
3558;M18417;M;301.8;310.7;1309;43.3;68;No Failure
6577;L53756;L;301.5;310.5;1644;34.9;186;No Failure
7374;L54553;L;299.6;310.1;1553;38;83;No Failure
3691;L50870;L;302.1;311.3;1477;43.6;196;No Failure
1922;L49101;L;298.1;307.9;1665;32;7;No Failure
9359;L56538;L;298.2;308.7;1407;45.1;49;No Failure
4346;M19205;M;301.8;309.8;1546;39.8;121;No Failure
783;L47962;L;296.8;307.9;1698;30.8;48;No Failure
2521;L49700;L;298.8;308.6;1535;41.2;40;No Failure
2860;L50039;L;300.6;309.4;1549;43.4;233;No Failure
3433;M18292;M;301.6;310.7;2012;20.7;178;No Failure
160;L47339;L;298.4;308.2;1471;47;214;No Failure
3470;M18329;M;301.8;310.7;1429;47.9;53;No Failure
190;M15049;M;298.3;308.4;1539;43.4;69;No Failure
9410;L56589;L;298;308.5;1664;28.3;196;No Failure
4132;L51311;L;301.9;310.3;1485;46.3;24;No Failure
5615;H35028;H;303;312.2;1624;28.8;117;No Failure
2190;H31603;H;299.7;309.2;1554;41.6;62;No Failure
7208;M22067;M;299.7;309.6;1540;34.4;91;No Failure
7092;L54271;L;300.6;310.2;1318;51;8;No Failure
6107;L53286;L;300.9;311;1432;48.1;59;No Failure
4723;M19582;M;303.4;311.8;1391;42.7;197;No Failure
5351;M20210;M;303.4;312.8;1622;35.1;107;No Failure
7372;L54551;L;299.6;310.2;1512;44;79;No Failure
2649;L49828;L;299.8;309.4;1436;51.6;158;No Failure
475;L47654;L;297.4;309.1;1478;49.8;150;No Failure
7828;M22687;M;299.8;311.1;1452;44.3;167;No Failure
7384;M22243;M;299.7;310.4;1410;44.5;105;No Failure
1144;L48323;L;297;307.9;1479;39.2;151;No Failure
3166;L50345;L;300.4;309.6;1536;34.5;154;No Failure
4629;M19488;M;303;311.1;1597;36.7;191;No Failure
8656;L55835;L;297.3;308.3;1268;60.6;119;No Failure
5758;L52937;L;301.9;311.3;1366;55.6;57;No Failure
7541;M22400;M;300.2;311.3;1587;31.2;73;No Failure
3724;L50903;L;302.3;311.2;1758;24.4;68;No Failure
7487;L54666;L;300.3;311.7;1635;31.8;156;No Failure
1905;M16764;M;298;307.6;1569;35.6;173;No Failure
1832;M16691;M;297.8;307.3;1315;54;180;No Failure
4599;L51778;L;303.1;311.2;1399;49.2;111;No Failure
9874;L57053;L;298.9;309.8;1616;36.5;110;No Failure
881;M15740;M;295.8;306.3;1235;76.2;89;Power Failure
4858;L52037;L;303.7;312.3;1606;37.4;103;No Failure
1993;L49172;L;298.2;307.8;1375;46.6;188;No Failure
740;L47919;L;296.9;308.4;1390;41.8;184;No Failure
8537;M23396;M;298.6;309.5;1426;45.4;38;No Failure
4962;L52141;L;303.9;312.7;1800;24.3;158;No Failure
2188;M17047;M;299.8;309.4;1439;47.4;57;No Failure
1629;L48808;L;297.9;307.8;1451;38.2;80;No Failure
5918;L53097;L;300.6;310.2;1341;52.6;21;No Failure
3593;H33006;H;301.6;310.4;1369;45.4;156;No Failure
7239;L54418;L;299.8;310;1697;36;175;No Failure
406;L47585;L;297.3;308.5;1350;57.6;186;No Failure
538;H29951;H;297.4;309.3;1516;43;83;No Failure
950;L48129;L;295.6;306.3;1636;32.7;56;No Failure
9963;L57142;L;298.2;307.9;1429;49.4;141;No Failure
6160;L53339;L;301;311;1399;58;190;Overstrain Failure
1807;H31220;H;298;307.6;1593;32.2;118;No Failure
9232;L56411;L;298.2;309.1;1539;36.5;134;No Failure
2281;L49460;L;299.4;308.8;1390;57;92;No Failure
724;M15583;M;297.4;308.9;1500;46.3;137;No Failure
4309;H33722;H;301.4;309.9;1460;47.2;22;No Failure
